track,distance,barrier,adv_lengths,ci_lower,ci_upper,n_runners,n_races,significant
TestTrack,1200,1,0.5691,-3.111,4.2492,3,3,False
TestTrack,1200,2,-1.21,-6.2671,3.847,3,3,False
TestTrack,1200,3,-1.4497,-6.4899,3.5905,3,3,False
TestTrack,1200,4,1.5209,-2.2055,5.2473,3,3,False
TestTrack,1200,5,-1.1325,-1.5496,-0.7154,3,3,False
TestTrack,1200,6,0.2309,-4.3433,4.805,3,3,False
TestTrack,1200,7,0.4651,-5.443,6.3732,3,3,False
TestTrack,1200,8,1.4134,-7.5025,10.3292,3,3,False
TestTrack,1200,9,1.2261,-7.6955,10.1476,3,3,False
TestTrack,1200,10,-0.2103,-4.423,4.0025,3,3,False
TestTrack,1200,11,0.7627,-5.0687,6.5941,3,3,False
TestTrack,1200,12,-2.1856,-3.0396,-1.3316,3,3,False
