draw_id,draw_date,n1,n2,n3,n4,n5,n6,powerball
711,2001-02-17,37,12,13,14,6,11,3
712,2001-02-24,30,23,39,33,25,8,6
713,2001-03-03,33,16,36,37,19,8,5
714,2001-03-10,12,36,29,31,27,9,1
715,2001-03-17,4,34,7,3,13,12,1
716,2001-03-24,32,25,21,15,23,36,1
717,2001-03-31,2,28,4,8,27,16,3
718,2001-04-07,29,39,18,35,13,23,2
719,2001-04-14,6,12,40,35,39,38,1
720,2001-04-21,34,11,14,23,29,10,7
721,2001-04-28,2,3,19,20,13,8,4
722,2001-05-05,3,20,15,24,27,8,5
723,2001-05-12,12,18,33,3,35,21,2
724,2001-05-19,9,20,11,23,27,35,7
725,2001-05-26,1,28,18,27,34,6,8
726,2001-06-02,22,2,15,36,3,31,2
727,2001-06-09,40,11,7,27,26,21,4
728,2001-06-16,38,4,8,5,6,30,7
729,2001-06-23,9,23,27,12,21,19,3
730,2001-06-30,18,10,24,1,4,11,3
731,2001-07-07,40,9,7,26,32,27,3
732,2001-07-14,17,13,36,2,40,15,6
733,2001-07-21,5,16,3,34,12,27,6
734,2001-07-28,17,32,29,15,24,14,7
735,2001-08-04,26,23,11,28,6,1,8
736,2001-08-11,17,15,30,14,7,16,2
737,2001-08-18,26,19,9,39,2,3,3
738,2001-08-25,6,29,3,8,31,30,8
739,2001-09-01,7,39,11,37,27,30,4
740,2001-09-08,18,31,23,36,35,19,5
741,2001-09-15,10,11,37,1,39,30,1
742,2001-09-22,27,34,38,36,8,29,3
743,2001-09-29,24,7,4,17,30,31,7
744,2001-10-06,39,24,19,4,18,15,2
745,2001-10-13,1,14,24,9,23,35,4
746,2001-10-20,3,23,9,20,39,34,7
747,2001-10-27,26,30,39,16,3,34,7
748,2001-11-03,38,2,13,3,31,25,6
749,2001-11-10,2,8,30,26,7,32,2
750,2001-11-17,12,28,10,35,37,17,6
751,2001-11-24,5,3,20,9,27,6,2
752,2001-12-01,7,39,2,17,18,19,4
753,2001-12-08,38,37,13,40,28,36,2
754,2001-12-15,2,7,19,20,36,13,4
755,2001-12-22,8,23,32,5,29,9,4
756,2001-12-29,30,22,6,3,39,36,4
757,2002-01-05,35,13,31,20,23,2,7
758,2002-01-12,18,33,8,4,23,24,8
759,2002-01-19,19,10,36,2,31,21,3
760,2002-01-26,29,16,2,4,37,23,4
761,2002-02-02,37,11,15,35,13,14,3
762,2002-02-09,5,40,21,39,28,2,8
763,2002-02-16,27,37,29,26,25,20,1
764,2002-02-23,35,11,34,12,7,26,1
765,2002-03-02,40,16,18,20,29,3,6
766,2002-03-09,14,1,15,21,5,31,1
767,2002-03-16,25,15,14,3,40,28,3
768,2002-03-23,15,7,28,9,13,4,1
769,2002-03-30,20,12,23,10,40,5,1
770,2002-04-06,32,38,9,30,27,6,8
771,2002-04-13,22,13,17,40,19,36,6
772,2002-04-20,9,15,11,23,13,26,5
